field,id,value
4,TB,Thoroughbred
4,QH,Quarter Horse
4,AR,Arabian
4,MX,Mix Breed
7,D,Dirt
7,T,Turf
7,P,PolyTrack
9,M,Main Course
9,I,"Inner Course (Aqu, Bel, Sar, Wo and Cnl)"
9,O,Outer Course (Cnl)
9,H,Hurdles Course
9,S,Steeplechase Course
10,ALW,Allowance
10,AOC,Allowance Optional Claiming
10,CLH,Claiming Handicap
10,CLM,Claiming
10,CST,Claiming Stake
10,HCP,Handicap
10,MAT,Match
10,MCL,Maiden Claiming
10,MOC,Maiden Optional Claiming
10,MST,Maiden Stakes
10,MSW,Maiden Special Weight
10,OCH,Optional Claiming Handicap
10,OCL,Optional Claiming
10,OCS,Optional Claiming Stakes
10,SHP,Starter Handicap
10,SST,Starter Stakes
10,STK,Stakes
10,STR,Starter Allowance
10,TRL,Trial
13,A,Colts & Geldings
13,B,Fillies & mares
13,C,Colts
13,D,Colts & Fillies
13,E,Fillies & Geldings
13,F,Fillies
13,G,Geldings
13,H,Horses
13,I,"Colts, Geldings & Horses"
13,J,Geldings & Horses
13,M,Mares
13,R,Ridglings
13,Blank,No Sex Restrictions
14,02,2 year olds
14,03,3 year olds
14,04,4 year olds
14,05,5 year olds
14,06,6 year olds
14,07,7 year olds
14,08,8 year olds
14,09,9 year olds
14,23,2 & 3 year olds
14,24,"2, 3 & 4 year olds"
14,2U,2 year olds & up
14,34,3 & 4 year olds
14,35,"3, 4 & 5 year olds"
14,36,"3, 4, 5 & 6 year olds"
14,3U,3 year olds & up
14,45,4 & 5 year olds
14,46,"4, 5 & 6 year olds"
14,47,"4, 5, 6 & 7 year olds"
14,4U,4 year olds & up
14,56,5 & 6 year olds
14,57,"5, 6 & 7 year olds"
14,58,"5, 6, 7 & 8 year olds"
14,59,"5, 6, 7, 8 & 9 year olds"
14,5U,5 year olds & up
14,67,6 & 7 year olds
14,68,"6, 7 & 8 year olds"
14,69,"6, 7, 8 & 9 year olds"
14,6U,6 year olds & up
14,78,7 & 8 year olds
14,79,"7, 8 & 9 year olds"
14,7U,7 year olds & up
14,8U,8 year olds & up
14,9U,9 year olds & up
14,NULL,No Age Restriction
19,1,Grade 1
19,2,Grade 2
19,3,Grade 3
22,FST,Fast
22,WF,Wet-Fast
22,GD,Good
22,SLY,Sloppy
22,MY,Muddy
22,SL,Slow
22,HY,Heavy
22,FR,Frozen
22,HD,Hard
22,FM,Firm
22,YL,Yielding
22,SF,Soft
23,A,Hot
23,B,Fine
23,C,Clear
23,E,Overcast
23,F,Foggy
23,H,Hazy
23,L,Cloudy
23,O,Showery
23,R,Rainy
23,S,Snowing
23,T,Stormy
23,W,Windy
55,NULL,No equipment
55,2,Screens
55,3,Shields
55,A,Aluminum Pads
55,B,Blinkers
55,C,Mud Calks
55,F,Front Wraps
55,G,Goggles
55,H,Hood
55,I,Cornell Collar
55,J,Cornell Collar Off
55,K,Flipping halter
55,L,Bar Shoes
55,N,No whip
55,O,Blinkers off
55,P,Aluminum Pad
55,Q,Nasal Strip off
55,R,Bar Shoe
55,S,Nasal Strip
55,V,Cheek Piece
55,W,No Hind Shoes
55,X,Cheek Piece Off
55,Y,No shoes
90,5 lbs,Apprentice Type 1 (5 lbs)
90,5,Apprentice Type 1 (5 lbs)
90,7 lbs,Apprentice Type 2 (7 lbs)
90,7,Apprentice Type 2 (7 lbs)
90,10 lbs,Apprentice Type 3 (10 lbs)
90,10,Apprentice Type 3 (10 lbs)
98,A,Also Eligible
98,E,Early
98,G,Gate
98,I,RegVet - Injured
98,J,PrivVet - Injured
98,K,Stakes Scratch
98,L,RegVet - Illness
98,M,Main Track Only
98,N,PrivVet - Unsound
98,O,Off Turf
98,P,Reason Unavailable
98,R,Re-entered
98,S,Stewards
98,T,Trainer
98,U,RegVet - Unsound
98,V,Veterinarian
98,Y,Part of Entry
98,Z,PrivVet - Illness
98,NULL,Unknown
112,A,Administrative
112,D,Deceased
112,O,Other
112,P,Positive Test
112,V,Vet
131,$,Super Bet
131,0,Choose 6
131,1,Roulette
131,13,123racing
131,18,Pick 18
131,2,Two in the Money
131,3,Pick 3
131,4,Pick 4
131,4J,Pick 4 Jackpot
131,5,Pick 5
131,5J,Pick 5 Jackpot
131,6,Pick 6
131,6J,Pick 6 Jackpot
131,7,Pick 7
131,7J,Pick 7 Jackpot
131,8,Countdown
131,9,Pick 9
131,9J,Pick 9 Jackpot
131,A,Triactor
131,B,Super Tri
131,BQ,Bracket Quinella
131,C,Classix
131,D,Daily Double
131,E,Exacta
131,F,Perfecta
131,G,Perfector
131,H,Head2Head
131,HE,Halfway Exacta
131,HW,Halfway Win
131,I,Pick 10
131,ID,Instant Daily Double
131,J,Exactor
131,K,Win 4
131,L,Place Pick All
131,L8,Place Pick 8
131,M,Consolation Pick 3
131,N,Future Wager
131,O,Omni
131,OU,Over/Under
131,P,Jockey Challenge
131,P5,Place Pick 5
131,P6,Place Pick 6
131,P8,Pick 8
131,P9,Place Pick 9
131,Q,Quinella
131,R,Triple
131,S,Superfecta
131,S5,Super High Five
131,SQ,Show Quinella
131,T,Trifecta
131,U,Tri Super
131,V,Odd or Even
131,W,Twin Trifecta
131,X,Grand Slam
131,X5,X-5 Super Hi-5
131,Y,Straight Flush
131,Z,Consolation Double
131,Z5,Z-5 Super Hi-5
